task,condition,seed,best_epoch,epochs_to_90pct,fp_mults_attention_path_per_step,gate_sparsity_beta,gate_sparsity_gamma,params_gate_M,params_total_M,spike_rate_attn_avg,top1_best,top1_last10_mean,top1_last10_std,total_train_time_h
shd_T25,c0_sdla,42,85,-1,0,,,0.0,1.9207,,83.1714,81.5548,0.712,2.36
shd_T25,c1_lowrank,42,84,-1,49152,,,0.004096,1.9248,,86.3074,83.5689,0.9687,2.444
shd_T25,c2_oneminusk,42,82,-1,32768,,,0.0,1.9207,,85.424,84.3772,0.5185,2.444
shd_T25,c3_mga,42,90,-1,0,0.751,0.5959,0.001304,1.922,,85.4682,84.788,0.2695,1.885
shd_T50,c0_sdla,42,78,-1,0,,,0.0,1.9207,,87.5442,85.5124,1.2837,4.34
shd_T50,c1_lowrank,42,95,-1,49152,,,0.004096,1.9248,,88.3834,87.5618,0.477,4.517
shd_T50,c2_oneminusk,42,73,-1,32768,,,0.0,1.9207,,87.7208,86.674,0.5691,4.544
shd_T50,c3_mga,42,94,-1,0,0.6473,0.5686,0.001304,1.922,,86.3074,85.7951,0.2795,3.62
shd_T100,c0_sdla,42,96,-1,0,,,0.0,1.9207,,86.0866,84.5583,1.0736,10.264
shd_T100,c1_lowrank,42,66,-1,49152,,,0.004096,1.9248,,87.3675,85.6979,0.493,10.854
shd_T100,c2_oneminusk,42,81,-1,32768,,,0.0,1.9207,,87.6325,85.4019,0.4378,10.897
shd_T100,c3_mga,42,55,-1,0,0.6273,0.5382,0.001304,1.922,,87.8092,86.3825,0.4125,11.27
shd_T200,c0_sdla,42,90,-1,0,,,0.0,1.9207,,83.3039,80.3666,0.5227,38.284
